RateValueID,RateRuleID,RateName,MonthlyRate,EffectiveStart,EffectiveEnd
RVSTDHP2025-22_26-27 (Placeholder),RR046,26-27 (Placeholder),1746.16,7/1/2026,6/30/2027
RVSTDHP2025-23_26-27 (Placeholder),RR047,26-27 (Placeholder),1181.44,7/1/2026,6/30/2027
RVSTDHP2025-24_26-27 (Placeholder),RR048,26-27 (Placeholder),830.96,7/1/2026,6/30/2027
RVSTDTD2025-01_26-27 (Placeholder),RR058,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDTD2025-02_26-27 (Placeholder),RR059,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDTD2025-03_26-27 (Placeholder),RR060,26-27 (Placeholder),1007.76,7/1/2026,6/30/2027
RVSTDTD2025-04_26-27 (Placeholder),RR061,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDTD2025-05_26-27 (Placeholder),RR062,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDTD2025-06_26-27 (Placeholder),RR063,26-27 (Placeholder),1007.76,7/1/2026,6/30/2027
RVSTDTD2025-07_26-27 (Placeholder),RR064,26-27 (Placeholder),1855.36,7/1/2026,6/30/2027
RVSTDTD2025-08_26-27 (Placeholder),RR065,26-27 (Placeholder),1267.76,7/1/2026,6/30/2027
RVSTDTD2025-09_26-27 (Placeholder),RR066,26-27 (Placeholder),895.44,7/1/2026,6/30/2027
RVSTDTD2025-10_26-27 (Placeholder),RR067,26-27 (Placeholder),1584.96,7/1/2026,6/30/2027
RVSTDTD2025-11_26-27 (Placeholder),RR068,26-27 (Placeholder),1105.52,7/1/2026,6/30/2027
RVSTDTD2025-12_26-27 (Placeholder),RR069,26-27 (Placeholder),787.28,7/1/2026,6/30/2027
RVSTDJP2025-01_27-28 (Placeholder),RR001,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDJP2025-02_27-28 (Placeholder),RR002,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDJP2025-03_27-28 (Placeholder),RR003,27-28 (Placeholder),1048.07,7/1/2027,6/30/2028
RVSTDJP2025-04_27-28 (Placeholder),RR004,27-28 (Placeholder),1929.57,7/1/2027,6/30/2028
RVSTDJP2025-05_27-28 (Placeholder),RR005,27-28 (Placeholder),1318.47,7/1/2027,6/30/2028
RVSTDJP2025-06_27-28 (Placeholder),RR006,27-28 (Placeholder),931.26,7/1/2027,6/30/2028
RVSTDJP2025-07_27-28 (Placeholder),RR007,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDJP2025-08_27-28 (Placeholder),RR008,27-28 (Placeholder),1149.74,7/1/2027,6/30/2028
RVSTDJP2025-09_27-28 (Placeholder),RR009,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDJP2025-10_27-28 (Placeholder),RR010,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDJP2025-11_27-28 (Placeholder),RR011,27-28 (Placeholder),1149.74,7/1/2027,6/30/2028
RVSTDJP2025-12_27-28 (Placeholder),RR012,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDJP2025-13_27-28 (Placeholder),RR013,27-28 (Placeholder),2269.2,7/1/2027,6/30/2028
RVSTDJP2025-14_27-28 (Placeholder),RR014,27-28 (Placeholder),1556.42,7/1/2027,6/30/2028
RVSTDJP2025-15_27-28 (Placeholder),RR015,27-28 (Placeholder),1115.13,7/1/2027,6/30/2028
RVSTDJP2025-16_27-28 (Placeholder),RR016,27-28 (Placeholder),1997.72,7/1/2027,6/30/2028
RVSTDJP2025-17_27-28 (Placeholder),RR017,27-28 (Placeholder),1383.37,7/1/2027,6/30/2028
RVSTDJP2025-18_27-28 (Placeholder),RR018,27-28 (Placeholder),984.26,7/1/2027,6/30/2028
RVSTDJP2025-19_27-28 (Placeholder),RR019,27-28 (Placeholder),1816.01,7/1/2027,6/30/2028
RVSTDJP2025-20_27-28 (Placeholder),RR020,27-28 (Placeholder),1228.7,7/1/2027,6/30/2028
RVSTDJP2025-21_27-28 (Placeholder),RR021,27-28 (Placeholder),864.2,7/1/2027,6/30/2028
RVSTDJP2025-22_27-28 (Placeholder),RR022,27-28 (Placeholder),1816.01,7/1/2027,6/30/2028
RVSTDJP2025-23_27-28 (Placeholder),RR023,27-28 (Placeholder),1228.7,7/1/2027,6/30/2028
RVSTDJP2025-24_27-28 (Placeholder),RR024,27-28 (Placeholder),864.2,7/1/2027,6/30/2028
RVSTDHP2025-01_27-28 (Placeholder),RR025,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDHP2025-02_27-28 (Placeholder),RR026,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDHP2025-03_27-28 (Placeholder),RR027,27-28 (Placeholder),1046.99,7/1/2027,6/30/2028
RVSTDHP2025-04_27-28 (Placeholder),RR028,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDHP2025-05_27-28 (Placeholder),RR029,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDHP2025-06_27-28 (Placeholder),RR030,27-28 (Placeholder),1046.99,7/1/2027,6/30/2028
RVSTDHP2025-07_27-28 (Placeholder),RR031,27-28 (Placeholder),1930.66,7/1/2027,6/30/2028
RVSTDHP2025-08_27-28 (Placeholder),RR032,27-28 (Placeholder),1318.47,7/1/2027,6/30/2028
RVSTDHP2025-09_27-28 (Placeholder),RR033,27-28 (Placeholder),983.17,7/1/2027,6/30/2028
RVSTDHP2025-10_27-28 (Placeholder),RR034,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDHP2025-11_27-28 (Placeholder),RR035,27-28 (Placeholder),1150.82,7/1/2027,6/30/2028
RVSTDHP2025-12_27-28 (Placeholder),RR036,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDHP2025-13_27-28 (Placeholder),RR037,27-28 (Placeholder),2290.83,7/1/2027,6/30/2028
RVSTDHP2025-14_27-28 (Placeholder),RR038,27-28 (Placeholder),1556.42,7/1/2027,6/30/2028
RVSTDHP2025-15_27-28 (Placeholder),RR039,27-28 (Placeholder),1095.66,7/1/2027,6/30/2028
RVSTDHP2025-16_27-28 (Placeholder),RR040,27-28 (Placeholder),2290.83,7/1/2027,6/30/2028
RVSTDHP2025-17_27-28 (Placeholder),RR041,27-28 (Placeholder),1556.42,7/1/2027,6/30/2028
RVSTDHP2025-18_27-28 (Placeholder),RR042,27-28 (Placeholder),1095.66,7/1/2027,6/30/2028
RVSTDHP2025-19_27-28 (Placeholder),RR043,27-28 (Placeholder),1997.72,7/1/2027,6/30/2028
RVSTDHP2025-20_27-28 (Placeholder),RR044,27-28 (Placeholder),1383.37,7/1/2027,6/30/2028
RVSTDHP2025-21_27-28 (Placeholder),RR045,27-28 (Placeholder),984.26,7/1/2027,6/30/2028
RVSTDHP2025-22_27-28 (Placeholder),RR046,27-28 (Placeholder),1816.01,7/1/2027,6/30/2028
RVSTDHP2025-23_27-28 (Placeholder),RR047,27-28 (Placeholder),1228.7,7/1/2027,6/30/2028
RVSTDHP2025-24_27-28 (Placeholder),RR048,27-28 (Placeholder),864.2,7/1/2027,6/30/2028
RVSTDTD2025-01_27-28 (Placeholder),RR058,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDTD2025-02_27-28 (Placeholder),RR059,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDTD2025-03_27-28 (Placeholder),RR060,27-28 (Placeholder),1048.07,7/1/2027,6/30/2028
RVSTDTD2025-04_27-28 (Placeholder),RR061,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDTD2025-05_27-28 (Placeholder),RR062,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDTD2025-06_27-28 (Placeholder),RR063,27-28 (Placeholder),1048.07,7/1/2027,6/30/2028
RVSTDTD2025-07_27-28 (Placeholder),RR064,27-28 (Placeholder),1929.57,7/1/2027,6/30/2028
RVSTDTD2025-08_27-28 (Placeholder),RR065,27-28 (Placeholder),1318.47,7/1/2027,6/30/2028
RVSTDTD2025-09_27-28 (Placeholder),RR066,27-28 (Placeholder),931.26,7/1/2027,6/30/2028
RVSTDTD2025-10_27-28 (Placeholder),RR067,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDTD2025-11_27-28 (Placeholder),RR068,27-28 (Placeholder),1149.74,7/1/2027,6/30/2028
RVSTDTD2025-12_27-28 (Placeholder),RR069,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDJP2025-01_28-29 (Placeholder),RR001,28-29 (Placeholder),2293.6,7/1/2028,6/30/2029
RVSTDJP2025-02_28-29 (Placeholder),RR002,28-29 (Placeholder),1575.93,7/1/2028,6/30/2029
RVSTDJP2025-03_28-29 (Placeholder),RR003,28-29 (Placeholder),1089.99,7/1/2028,6/30/2029
RVSTDJP2025-04_28-29 (Placeholder),RR004,28-29 (Placeholder),2006.76,7/1/2028,6/30/2029
RVSTDJP2025-05_28-29 (Placeholder),RR005,28-29 (Placeholder),1371.21,7/1/2028,6/30/2029
RVSTDJP2025-06_28-29 (Placeholder),RR006,28-29 (Placeholder),968.51,7/1/2028,6/30/2029
RVSTDJP2025-07_28-29 (Placeholder),RR007,28-29 (Placeholder),1714.29,7/1/2028,6/30/2029
RVSTDJP2025-08_28-29 (Placeholder),RR008,28-29 (Placeholder),1195.73,7/1/2028,6/30/2029
RVSTDJP2025-09_28-29 (Placeholder),RR009,28-29 (Placeholder),851.52,7/1/2028,6/30/2029
RVSTDJP2025-10_28-29 (Placeholder),RR010,28-29 (Placeholder),1714.29,7/1/2028,6/30/2029
RVSTDJP2025-11_28-29 (Placeholder),RR011,28-29 (Placeholder),1195.73,7/1/2028,6/30/2029
RVSTDJP2025-12_28-29 (Placeholder),RR012,28-29 (Placeholder),851.52,7/1/2028,6/30/2029
RVSTDJP2025-13_28-29 (Placeholder),RR013,28-29 (Placeholder),2359.96,7/1/2028,6/30/2029
RVSTDJP2025-14_28-29 (Placeholder),RR014,28-29 (Placeholder),1618.68,7/1/2028,6/30/2029
RVSTDJP2025-15_28-29 (Placeholder),RR015,28-29 (Placeholder),1159.73,7/1/2028,6/30/2029
RVSTDJP2025-16_28-29 (Placeholder),RR016,28-29 (Placeholder),2077.62,7/1/2028,6/30/2029
RVSTDJP2025-17_28-29 (Placeholder),RR017,28-29 (Placeholder),1438.7,7/1/2028,6/30/2029
RVSTDJP2025-18_28-29 (Placeholder),RR018,28-29 (Placeholder),1023.63,7/1/2028,6/30/2029
RVSTDJP2025-19_28-29 (Placeholder),RR019,28-29 (Placeholder),1888.65,7/1/2028,6/30/2029
RVSTDJP2025-20_28-29 (Placeholder),RR020,28-29 (Placeholder),1277.85,7/1/2028,6/30/2029
RVSTDJP2025-21_28-29 (Placeholder),RR021,28-29 (Placeholder),898.77,7/1/2028,6/30/2029
RVSTDJP2025-22_28-29 (Placeholder),RR022,28-29 (Placeholder),1888.65,7/1/2028,6/30/2029
RVSTDJP2025-23_28-29 (Placeholder),RR023,28-29 (Placeholder),1277.85,7/1/2028,6/30/2029
RVSTDJP2025-24_28-29 (Placeholder),RR024,28-29 (Placeholder),898.77,7/1/2028,6/30/2029
RVSTDHP2025-01_28-29 (Placeholder),RR025,28-29 (Placeholder),2293.6,7/1/2028,6/30/2029
RVSTDHP2025-02_28-29 (Placeholder),RR026,28-29 (Placeholder),1575.93,7/1/2028,6/30/2029
RVSTDHP2025-03_28-29 (Placeholder),RR027,28-29 (Placeholder),1088.87,7/1/2028,6/30/2029
RVSTDHP2025-04_28-29 (Placeholder),RR028,28-29 (Placeholder),2293.6,7/1/2028,6/30/2029
RVSTDHP2025-05_28-29 (Placeholder),RR029,28-29 (Placeholder),1575.93,7/1/2028,6/30/2029
RVSTDHP2025-06_28-29 (Placeholder),RR030,28-29 (Placeholder),1088.87,7/1/2028,6/30/2029
RVSTDHP2025-07_28-29 (Placeholder),RR031,28-29 (Placeholder),2007.88,7/1/2028,6/30/2029
RVSTDHP2025-08_28-29 (Placeholder),RR032,28-29 (Placeholder),1371.21,7/1/2028,6/30/2029
RVSTDHP2025-09_28-29 (Placeholder),RR033,28-29 (Placeholder),1022.5,7/1/2028,6/30/2029
RVSTDHP2025-10_28-29 (Placeholder),RR034,28-29 (Placeholder),1714.29,7/1/2028,6/30/2029
RVSTDHP2025-11_28-29 (Placeholder),RR035,28-29 (Placeholder),1196.86,7/1/2028,6/30/2029
RVSTDHP2025-12_28-29 (Placeholder),RR036,28-29 (Placeholder),851.52,7/1/2028,6/30/2029
RVSTDHP2025-13_28-29 (Placeholder),RR037,28-29 (Placeholder),2382.46,7/1/2028,6/30/2029
RVSTDHP2025-14_28-29 (Placeholder),RR038,28-29 (Placeholder),1618.68,7/1/2028,6/30/2029
RVSTDHP2025-15_28-29 (Placeholder),RR039,28-29 (Placeholder),1139.49,7/1/2028,6/30/2029
RVSTDHP2025-16_28-29 (Placeholder),RR040,28-29 (Placeholder),2382.46,7/1/2028,6/30/2029
RVSTDHP2025-17_28-29 (Placeholder),RR041,28-29 (Placeholder),1618.68,7/1/2028,6/30/2029
RVSTDHP2025-18_28-29 (Placeholder),RR042,28-29 (Placeholder),1139.49,7/1/2028,6/30/2029
RVSTDHP2025-19_28-29 (Placeholder),RR043,28-29 (Placeholder),2077.62,7/1/2028,6/30/2029
RVSTDHP2025-20_28-29 (Placeholder),RR044,28-29 (Placeholder),1438.7,7/1/2028,6/30/2029
RVSTDHP2025-21_28-29 (Placeholder),RR045,28-29 (Placeholder),1023.63,7/1/2028,6/30/2029
RVSTDHP2025-22_28-29 (Placeholder),RR046,28-29 (Placeholder),1888.65,7/1/2028,6/30/2029
RVSTDHP2025-23_28-29 (Placeholder),RR047,28-29 (Placeholder),1277.85,7/1/2028,6/30/2029
RVSTDHP2025-24_28-29 (Placeholder),RR048,28-29 (Placeholder),898.77,7/1/2028,6/30/2029
RVSTDTD2025-01_28-29 (Placeholder),RR058,28-29 (Placeholder),2293.6,7/1/2028,6/30/2029
RVSTDTD2025-02_28-29 (Placeholder),RR059,28-29 (Placeholder),1575.93,7/1/2028,6/30/2029
RVSTDTD2025-03_28-29 (Placeholder),RR060,28-29 (Placeholder),1089.99,7/1/2028,6/30/2029
RVSTDTD2025-04_28-29 (Placeholder),RR061,28-29 (Placeholder),2293.6,7/1/2028,6/30/2029
RVSTDTD2025-05_28-29 (Placeholder),RR062,28-29 (Placeholder),1575.93,7/1/2028,6/30/2029
RVSTDTD2025-06_28-29 (Placeholder),RR063,28-29 (Placeholder),1089.99,7/1/2028,6/30/2029
RVSTDTD2025-07_28-29 (Placeholder),RR064,28-29 (Placeholder),2006.76,7/1/2028,6/30/2029
RVSTDTD2025-08_28-29 (Placeholder),RR065,28-29 (Placeholder),1371.21,7/1/2028,6/30/2029
RVSTDTD2025-09_28-29 (Placeholder),RR066,28-29 (Placeholder),968.51,7/1/2028,6/30/2029
RVSTDTD2025-10_28-29 (Placeholder),RR067,28-29 (Placeholder),1714.29,7/1/2028,6/30/2029
RVSTDTD2025-11_28-29 (Placeholder),RR068,28-29 (Placeholder),1195.73,7/1/2028,6/30/2029
RVSTDTD2025-12_28-29 (Placeholder),RR069,28-29 (Placeholder),851.52,7/1/2028,6/30/2029
RVSTDJP2025-01_29-30 (Placeholder),RR001,29-30 (Placeholder),2385.34,7/1/2029,6/30/2030
RVSTDJP2025-02_29-30 (Placeholder),RR002,29-30 (Placeholder),1638.97,7/1/2029,6/30/2030
RVSTDJP2025-03_29-30 (Placeholder),RR003,29-30 (Placeholder),1133.59,7/1/2029,6/30/2030
RVSTDJP2025-04_29-30 (Placeholder),RR004,29-30 (Placeholder),2087.03,7/1/2029,6/30/2030
RVSTDJP2025-05_29-30 (Placeholder),RR005,29-30 (Placeholder),1426.06,7/1/2029,6/30/2030
RVSTDJP2025-06_29-30 (Placeholder),RR006,29-30 (Placeholder),1007.25,7/1/2029,6/30/2030
RVSTDJP2025-07_29-30 (Placeholder),RR007,29-30 (Placeholder),1782.86,7/1/2029,6/30/2030
RVSTDJP2025-08_29-30 (Placeholder),RR008,29-30 (Placeholder),1243.56,7/1/2029,6/30/2030
RVSTDJP2025-09_29-30 (Placeholder),RR009,29-30 (Placeholder),885.58,7/1/2029,6/30/2030
RVSTDJP2025-10_29-30 (Placeholder),RR010,29-30 (Placeholder),1782.86,7/1/2029,6/30/2030
RVSTDJP2025-11_29-30 (Placeholder),RR011,29-30 (Placeholder),1243.56,7/1/2029,6/30/2030
RVSTDJP2025-12_29-30 (Placeholder),RR012,29-30 (Placeholder),885.58,7/1/2029,6/30/2030
RVSTDJP2025-13_29-30 (Placeholder),RR013,29-30 (Placeholder),2454.36,7/1/2029,6/30/2030
RVSTDJP2025-14_29-30 (Placeholder),RR014,29-30 (Placeholder),1683.43,7/1/2029,6/30/2030
RVSTDJP2025-15_29-30 (Placeholder),RR015,29-30 (Placeholder),1206.12,7/1/2029,6/30/2030
RVSTDJP2025-16_29-30 (Placeholder),RR016,29-30 (Placeholder),2160.73,7/1/2029,6/30/2030
RVSTDJP2025-17_29-30 (Placeholder),RR017,29-30 (Placeholder),1496.25,7/1/2029,6/30/2030
RVSTDJP2025-18_29-30 (Placeholder),RR018,29-30 (Placeholder),1064.57,7/1/2029,6/30/2030
RVSTDJP2025-19_29-30 (Placeholder),RR019,29-30 (Placeholder),1964.19,7/1/2029,6/30/2030
RVSTDJP2025-20_29-30 (Placeholder),RR020,29-30 (Placeholder),1328.96,7/1/2029,6/30/2030
RVSTDJP2025-21_29-30 (Placeholder),RR021,29-30 (Placeholder),934.72,7/1/2029,6/30/2030
RVSTDJP2025-22_29-30 (Placeholder),RR022,29-30 (Placeholder),1964.19,7/1/2029,6/30/2030
RVSTDJP2025-23_29-30 (Placeholder),RR023,29-30 (Placeholder),1328.96,7/1/2029,6/30/2030
RVSTDJP2025-24_29-30 (Placeholder),RR024,29-30 (Placeholder),934.72,7/1/2029,6/30/2030
RVSTDHP2025-01_29-30 (Placeholder),RR025,29-30 (Placeholder),2385.34,7/1/2029,6/30/2030
RVSTDHP2025-02_29-30 (Placeholder),RR026,29-30 (Placeholder),1638.97,7/1/2029,6/30/2030
RVSTDHP2025-03_29-30 (Placeholder),RR027,29-30 (Placeholder),1132.42,7/1/2029,6/30/2030
RVSTDHP2025-04_29-30 (Placeholder),RR028,29-30 (Placeholder),2385.34,7/1/2029,6/30/2030
RVSTDHP2025-05_29-30 (Placeholder),RR029,29-30 (Placeholder),1638.97,7/1/2029,6/30/2030
RVSTDHP2025-06_29-30 (Placeholder),RR030,29-30 (Placeholder),1132.42,7/1/2029,6/30/2030
RVSTDHP2025-07_29-30 (Placeholder),RR031,29-30 (Placeholder),2088.2,7/1/2029,6/30/2030
RVSTDHP2025-08_29-30 (Placeholder),RR032,29-30 (Placeholder),1426.06,7/1/2029,6/30/2030
RVSTDHP2025-09_29-30 (Placeholder),RR033,29-30 (Placeholder),1063.4,7/1/2029,6/30/2030
RVSTDHP2025-10_29-30 (Placeholder),RR034,29-30 (Placeholder),1782.86,7/1/2029,6/30/2030
RVSTDHP2025-11_29-30 (Placeholder),RR035,29-30 (Placeholder),1244.73,7/1/2029,6/30/2030
RVSTDHP2025-12_29-30 (Placeholder),RR036,29-30 (Placeholder),885.58,7/1/2029,6/30/2030
RVSTDHP2025-13_29-30 (Placeholder),RR037,29-30 (Placeholder),2477.76,7/1/2029,6/30/2030
RVSTDHP2025-14_29-30 (Placeholder),RR038,29-30 (Placeholder),1683.43,7/1/2029,6/30/2030
RVSTDHP2025-15_29-30 (Placeholder),RR039,29-30 (Placeholder),1185.07,7/1/2029,6/30/2030
RVSTDHP2025-16_29-30 (Placeholder),RR040,29-30 (Placeholder),2477.76,7/1/2029,6/30/2030
RVSTDHP2025-17_29-30 (Placeholder),RR041,29-30 (Placeholder),1683.43,7/1/2029,6/30/2030
RVSTDHP2025-18_29-30 (Placeholder),RR042,29-30 (Placeholder),1185.07,7/1/2029,6/30/2030
RVSTDHP2025-19_29-30 (Placeholder),RR043,29-30 (Placeholder),2160.73,7/1/2029,6/30/2030
RVSTDHP2025-20_29-30 (Placeholder),RR044,29-30 (Placeholder),1496.25,7/1/2029,6/30/2030
RVSTDHP2025-21_29-30 (Placeholder),RR045,29-30 (Placeholder),1064.57,7/1/2029,6/30/2030
RVSTDHP2025-22_29-30 (Placeholder),RR046,29-30 (Placeholder),1964.19,7/1/2029,6/30/2030
RVSTDHP2025-23_29-30 (Placeholder),RR047,29-30 (Placeholder),1328.96,7/1/2029,6/30/2030
RVSTDHP2025-24_29-30 (Placeholder),RR048,29-30 (Placeholder),934.72,7/1/2029,6/30/2030
RVSTDTD2025-01_29-30 (Placeholder),RR058,29-30 (Placeholder),2385.34,7/1/2029,6/30/2030
RVSTDTD2025-02_29-30 (Placeholder),RR059,29-30 (Placeholder),1638.97,7/1/2029,6/30/2030
RVSTDTD2025-03_29-30 (Placeholder),RR060,29-30 (Placeholder),1133.59,7/1/2029,6/30/2030
RVSTDTD2025-04_29-30 (Placeholder),RR061,29-30 (Placeholder),2385.34,7/1/2029,6/30/2030
RVSTDTD2025-05_29-30 (Placeholder),RR062,29-30 (Placeholder),1638.97,7/1/2029,6/30/2030
RVSTDTD2025-06_29-30 (Placeholder),RR063,29-30 (Placeholder),1133.59,7/1/2029,6/30/2030
RVSTDTD2025-07_29-30 (Placeholder),RR064,29-30 (Placeholder),2087.03,7/1/2029,6/30/2030
RVSTDTD2025-08_29-30 (Placeholder),RR065,29-30 (Placeholder),1426.06,7/1/2029,6/30/2030
RVSTDTD2025-09_29-30 (Placeholder),RR066,29-30 (Placeholder),1007.25,7/1/2029,6/30/2030
RVSTDTD2025-10_29-30 (Placeholder),RR067,29-30 (Placeholder),1782.86,7/1/2029,6/30/2030
RVSTDTD2025-11_29-30 (Placeholder),RR068,29-30 (Placeholder),1243.56,7/1/2029,6/30/2030
RVSTDTD2025-12_29-30 (Placeholder),RR069,29-30 (Placeholder),885.58,7/1/2029,6/30/2030
