WageID,EffectiveStart,EffectiveEnd,PositionTitle,HourlyRate
WAGE-1998-ASSISTANTTEACHER,1/1/1998,12/31/1998,Assistant Teacher,6
WAGE-1998-TEACHER,1/1/1998,12/31/1998,Teacher,7
WAGE-1998-LEADTEACHER,1/1/1998,12/31/1998,Lead Teacher,8
WAGE-1998-CENTERDIRECTOR,1/1/1998,12/31/1998,Center Director,12
WAGE-1998-EXECUTIVEDIRECTOR,1/1/1998,12/31/1998,Executive Director,15
WAGE-1999-ASSISTANTTEACHER,1/1/1999,12/31/1999,Assistant Teacher,6.12
WAGE-1999-TEACHER,1/1/1999,12/31/1999,Teacher,7.14
WAGE-1999-LEADTEACHER,1/1/1999,12/31/1999,Lead Teacher,8.16
WAGE-1999-CENTERDIRECTOR,1/1/1999,12/31/1999,Center Director,12.24
WAGE-1999-EXECUTIVEDIRECTOR,1/1/1999,12/31/1999,Executive Director,15.3
WAGE-2000-ASSISTANTTEACHER,1/1/2000,12/31/2000,Assistant Teacher,6.24
WAGE-2000-TEACHER,1/1/2000,12/31/2000,Teacher,7.28
WAGE-2000-LEADTEACHER,1/1/2000,12/31/2000,Lead Teacher,8.32
WAGE-2000-CENTERDIRECTOR,1/1/2000,12/31/2000,Center Director,12.48
WAGE-2000-EXECUTIVEDIRECTOR,1/1/2000,12/31/2000,Executive Director,15.61
WAGE-2001-ASSISTANTTEACHER,1/1/2001,12/31/2001,Assistant Teacher,6.36
WAGE-2001-TEACHER,1/1/2001,12/31/2001,Teacher,7.43
WAGE-2001-LEADTEACHER,1/1/2001,12/31/2001,Lead Teacher,8.49
WAGE-2001-CENTERDIRECTOR,1/1/2001,12/31/2001,Center Director,12.73
WAGE-2001-EXECUTIVEDIRECTOR,1/1/2001,12/31/2001,Executive Director,15.92
WAGE-2002-ASSISTANTTEACHER,1/1/2002,12/31/2002,Assistant Teacher,6.49
WAGE-2002-TEACHER,1/1/2002,12/31/2002,Teacher,7.58
WAGE-2002-LEADTEACHER,1/1/2002,12/31/2002,Lead Teacher,8.66
WAGE-2002-CENTERDIRECTOR,1/1/2002,12/31/2002,Center Director,12.98
WAGE-2002-EXECUTIVEDIRECTOR,1/1/2002,12/31/2002,Executive Director,16.24
WAGE-2003-ASSISTANTTEACHER,1/1/2003,12/31/2003,Assistant Teacher,6.62
WAGE-2003-TEACHER,1/1/2003,12/31/2003,Teacher,7.73
WAGE-2003-LEADTEACHER,1/1/2003,12/31/2003,Lead Teacher,8.83
WAGE-2003-CENTERDIRECTOR,1/1/2003,12/31/2003,Center Director,13.24
WAGE-2003-EXECUTIVEDIRECTOR,1/1/2003,12/31/2003,Executive Director,16.56
WAGE-2004-ASSISTANTTEACHER,1/1/2004,12/31/2004,Assistant Teacher,6.75
WAGE-2004-TEACHER,1/1/2004,12/31/2004,Teacher,7.88
WAGE-2004-LEADTEACHER,1/1/2004,12/31/2004,Lead Teacher,9.01
WAGE-2004-CENTERDIRECTOR,1/1/2004,12/31/2004,Center Director,13.5
WAGE-2004-EXECUTIVEDIRECTOR,1/1/2004,12/31/2004,Executive Director,16.89
WAGE-2005-ASSISTANTTEACHER,1/1/2005,12/31/2005,Assistant Teacher,6.88
WAGE-2005-TEACHER,1/1/2005,12/31/2005,Teacher,8.04
WAGE-2005-LEADTEACHER,1/1/2005,12/31/2005,Lead Teacher,9.19
WAGE-2005-CENTERDIRECTOR,1/1/2005,12/31/2005,Center Director,13.77
WAGE-2005-EXECUTIVEDIRECTOR,1/1/2005,12/31/2005,Executive Director,17.23
WAGE-2006-ASSISTANTTEACHER,1/1/2006,12/31/2006,Assistant Teacher,7.02
WAGE-2006-TEACHER,1/1/2006,12/31/2006,Teacher,8.2
WAGE-2006-LEADTEACHER,1/1/2006,12/31/2006,Lead Teacher,9.37
WAGE-2006-CENTERDIRECTOR,1/1/2006,12/31/2006,Center Director,14.05
WAGE-2006-EXECUTIVEDIRECTOR,1/1/2006,12/31/2006,Executive Director,17.57
WAGE-2007-ASSISTANTTEACHER,1/1/2007,12/31/2007,Assistant Teacher,7.16
WAGE-2007-TEACHER,1/1/2007,12/31/2007,Teacher,8.36
WAGE-2007-LEADTEACHER,1/1/2007,12/31/2007,Lead Teacher,9.56
WAGE-2007-CENTERDIRECTOR,1/1/2007,12/31/2007,Center Director,14.33
WAGE-2007-EXECUTIVEDIRECTOR,1/1/2007,12/31/2007,Executive Director,17.92
WAGE-2008-ASSISTANTTEACHER,1/1/2008,12/31/2008,Assistant Teacher,7.3
WAGE-2008-TEACHER,1/1/2008,12/31/2008,Teacher,8.53
WAGE-2008-LEADTEACHER,1/1/2008,12/31/2008,Lead Teacher,9.75
WAGE-2008-CENTERDIRECTOR,1/1/2008,12/31/2008,Center Director,14.62
WAGE-2008-EXECUTIVEDIRECTOR,1/1/2008,12/31/2008,Executive Director,18.28
WAGE-2009-ASSISTANTTEACHER,1/1/2009,12/31/2009,Assistant Teacher,7.45
WAGE-2009-TEACHER,1/1/2009,12/31/2009,Teacher,8.7
WAGE-2009-LEADTEACHER,1/1/2009,12/31/2009,Lead Teacher,9.95
WAGE-2009-CENTERDIRECTOR,1/1/2009,12/31/2009,Center Director,14.91
WAGE-2009-EXECUTIVEDIRECTOR,1/1/2009,12/31/2009,Executive Director,18.65
WAGE-2010-ASSISTANTTEACHER,1/1/2010,12/31/2010,Assistant Teacher,7.6
WAGE-2010-TEACHER,1/1/2010,12/31/2010,Teacher,8.87
WAGE-2010-LEADTEACHER,1/1/2010,12/31/2010,Lead Teacher,10.15
WAGE-2010-CENTERDIRECTOR,1/1/2010,12/31/2010,Center Director,15.21
WAGE-2010-EXECUTIVEDIRECTOR,1/1/2010,12/31/2010,Executive Director,19.02
WAGE-2011-ASSISTANTTEACHER,1/1/2011,12/31/2011,Assistant Teacher,7.75
WAGE-2011-TEACHER,1/1/2011,12/31/2011,Teacher,9.05
WAGE-2011-LEADTEACHER,1/1/2011,12/31/2011,Lead Teacher,10.35
WAGE-2011-CENTERDIRECTOR,1/1/2011,12/31/2011,Center Director,15.51
WAGE-2011-EXECUTIVEDIRECTOR,1/1/2011,12/31/2011,Executive Director,19.4
WAGE-2012-ASSISTANTTEACHER,1/1/2012,12/31/2012,Assistant Teacher,7.91
WAGE-2012-TEACHER,1/1/2012,12/31/2012,Teacher,9.23
WAGE-2012-LEADTEACHER,1/1/2012,12/31/2012,Lead Teacher,10.56
WAGE-2012-CENTERDIRECTOR,1/1/2012,12/31/2012,Center Director,15.82
WAGE-2012-EXECUTIVEDIRECTOR,1/1/2012,12/31/2012,Executive Director,19.79
WAGE-2013-ASSISTANTTEACHER,1/1/2013,12/31/2013,Assistant Teacher,8.07
WAGE-2013-TEACHER,1/1/2013,12/31/2013,Teacher,9.41
WAGE-2013-LEADTEACHER,1/1/2013,12/31/2013,Lead Teacher,10.77
WAGE-2013-CENTERDIRECTOR,1/1/2013,12/31/2013,Center Director,16.14
WAGE-2013-EXECUTIVEDIRECTOR,1/1/2013,12/31/2013,Executive Director,20.19
WAGE-2014-ASSISTANTTEACHER,1/1/2014,12/31/2014,Assistant Teacher,8.23
WAGE-2014-TEACHER,1/1/2014,12/31/2014,Teacher,9.6
WAGE-2014-LEADTEACHER,1/1/2014,12/31/2014,Lead Teacher,10.99
WAGE-2014-CENTERDIRECTOR,1/1/2014,12/31/2014,Center Director,16.46
WAGE-2014-EXECUTIVEDIRECTOR,1/1/2014,12/31/2014,Executive Director,20.59
WAGE-2015-ASSISTANTTEACHER,1/1/2015,12/31/2015,Assistant Teacher,8.39
WAGE-2015-TEACHER,1/1/2015,12/31/2015,Teacher,9.79
WAGE-2015-LEADTEACHER,1/1/2015,12/31/2015,Lead Teacher,11.21
WAGE-2015-CENTERDIRECTOR,1/1/2015,12/31/2015,Center Director,16.79
WAGE-2015-EXECUTIVEDIRECTOR,1/1/2015,12/31/2015,Executive Director,21
WAGE-2016-ASSISTANTTEACHER,1/1/2016,12/31/2016,Assistant Teacher,8.56
WAGE-2016-TEACHER,1/1/2016,12/31/2016,Teacher,9.99
WAGE-2016-LEADTEACHER,1/1/2016,12/31/2016,Lead Teacher,11.43
WAGE-2016-CENTERDIRECTOR,1/1/2016,12/31/2016,Center Director,17.13
WAGE-2016-EXECUTIVEDIRECTOR,1/1/2016,12/31/2016,Executive Director,21.42
WAGE-2017-ASSISTANTTEACHER,1/1/2017,12/31/2017,Assistant Teacher,8.73
WAGE-2017-TEACHER,1/1/2017,12/31/2017,Teacher,10.19
WAGE-2017-LEADTEACHER,1/1/2017,12/31/2017,Lead Teacher,11.66
WAGE-2017-CENTERDIRECTOR,1/1/2017,12/31/2017,Center Director,17.47
WAGE-2017-EXECUTIVEDIRECTOR,1/1/2017,12/31/2017,Executive Director,21.85
WAGE-2018-ASSISTANTTEACHER,1/1/2018,12/31/2018,Assistant Teacher,8.9
WAGE-2018-TEACHER,1/1/2018,12/31/2018,Teacher,10.39
WAGE-2018-LEADTEACHER,1/1/2018,12/31/2018,Lead Teacher,11.89
WAGE-2018-CENTERDIRECTOR,1/1/2018,12/31/2018,Center Director,17.82
WAGE-2018-EXECUTIVEDIRECTOR,1/1/2018,12/31/2018,Executive Director,22.29
WAGE-2019-ASSISTANTTEACHER,1/1/2019,12/31/2019,Assistant Teacher,9.08
WAGE-2019-TEACHER,1/1/2019,12/31/2019,Teacher,10.6
WAGE-2019-LEADTEACHER,1/1/2019,12/31/2019,Lead Teacher,12.13
WAGE-2019-CENTERDIRECTOR,1/1/2019,12/31/2019,Center Director,18.18
WAGE-2019-EXECUTIVEDIRECTOR,1/1/2019,12/31/2019,Executive Director,22.74
WAGE-2020-ASSISTANTTEACHER,1/1/2020,12/31/2020,Assistant Teacher,9.26
WAGE-2020-TEACHER,1/1/2020,12/31/2020,Teacher,10.81
WAGE-2020-LEADTEACHER,1/1/2020,12/31/2020,Lead Teacher,12.37
WAGE-2020-CENTERDIRECTOR,1/1/2020,12/31/2020,Center Director,18.54
WAGE-2020-EXECUTIVEDIRECTOR,1/1/2020,12/31/2020,Executive Director,23.19
WAGE-2021-ASSISTANTTEACHER,1/1/2021,12/31/2021,Assistant Teacher,9.45
WAGE-2021-TEACHER,1/1/2021,12/31/2021,Teacher,11.03
WAGE-2021-LEADTEACHER,1/1/2021,12/31/2021,Lead Teacher,12.62
WAGE-2021-CENTERDIRECTOR,1/1/2021,12/31/2021,Center Director,18.91
WAGE-2021-EXECUTIVEDIRECTOR,1/1/2021,12/31/2021,Executive Director,23.65
WAGE-2022-ASSISTANTTEACHER,1/1/2022,12/31/2022,Assistant Teacher,18.5
WAGE-2022-TEACHER,1/1/2022,12/31/2022,Teacher,21
WAGE-2022-LEADTEACHER,1/1/2022,12/31/2022,Lead Teacher,24
WAGE-2022-CENTERDIRECTOR,1/1/2022,12/31/2022,Center Director,30
WAGE-2022-EXECUTIVEDIRECTOR,1/1/2022,12/31/2022,Executive Director,40
WAGE-2023-ASSISTANTTEACHER,1/1/2023,12/31/2023,Assistant Teacher,19.24
WAGE-2023-TEACHER,1/1/2023,12/31/2023,Teacher,21.84
WAGE-2023-LEADTEACHER,1/1/2023,12/31/2023,Lead Teacher,24.96
WAGE-2023-CENTERDIRECTOR,1/1/2023,12/31/2023,Center Director,31.2
WAGE-2023-EXECUTIVEDIRECTOR,1/1/2023,12/31/2023,Executive Director,41.6
WAGE-2024-ASSISTANTTEACHER,1/1/2024,12/31/2024,Assistant Teacher,20.01
WAGE-2024-TEACHER,1/1/2024,12/31/2024,Teacher,22.71
WAGE-2024-LEADTEACHER,1/1/2024,12/31/2024,Lead Teacher,25.96
WAGE-2024-CENTERDIRECTOR,1/1/2024,12/31/2024,Center Director,32.45
WAGE-2024-EXECUTIVEDIRECTOR,1/1/2024,12/31/2024,Executive Director,43.26
WAGE-2025-ASSISTANTTEACHER,1/1/2025,,Assistant Teacher,20.81
WAGE-2025-TEACHER,1/1/2025,,Teacher,23.62
WAGE-2025-LEADTEACHER,1/1/2025,,Lead Teacher,27
WAGE-2025-CENTERDIRECTOR,1/1/2025,,Center Director,33.75
WAGE-2025-EXECUTIVEDIRECTOR,1/1/2025,,Executive Director,44.99
